uuid,time_min_offset,time_max_offset,x,y,z,confidence,Begin File,Begin Time (s),End Time (s),Begin Date Time,Class,Sound type,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,Energy (dB FS),SNR NIST Quick (dB),source_selection_file
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:2986,540.600000000,540.700000000,0.560000000000003,0.520000000000003,-0.419999999999999,0,AMAR173.4.20220813T020710Z.wav,540.600000000,540.700000000,2022/8/13  2:16:10.6000,NA,NA,0,0.560000000000003,0.520000000000003,-0.419999999999999,0.340000000000003,0.760000000000003,0.42,0.320000000000003,0.720000000000003,0.4,-0.619999999999999,-0.179999999999999,0.44,-27.711,12.27,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt:3026,1493.310000000,1493.600000000,-0.559999999999998,-0.439999999999998,-1.2,0,AMAR173.4.20220813T020710Z.wav,1493.310000000,1493.600000000,2022/8/13  2:32:03.3100,NA,NA,0,-0.559999999999998,-0.439999999999998,-1.2,-0.559999999999998,-0.559999999999998,0,-0.439999999999998,-0.419999999999998,0.02,-1.2,-1.16,0.04,-1.564,26.72,AMAR173.4.20220813T020710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:167,718.350000000,718.710000000,-0.239999999999998,-0.999999999999998,0.880000000000002,0,AMAR173.4.20220813T023710Z.wav,718.350000000,718.710000000,2022/8/13  2:49:08.3500,NA,NA,0,-0.239999999999998,-0.999999999999998,0.880000000000002,-0.339999999999998,-0.0999999999999974,0.24,-1.14,-0.819999999999998,0.32,0.500000000000002,1.1,0.600000000000001,-11.613,18.47,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:517,1684.830000000,1685.020000000,-0.879999999999998,0.620000000000003,-0.879999999999999,0,AMAR173.4.20220813T023710Z.wav,1684.830000000,1685.020000000,2022/8/13  3:05:14.8300,NA,NA,0,-0.879999999999998,0.620000000000003,-0.879999999999999,-0.919999999999998,-0.839999999999998,0.0800000000000001,0.600000000000003,0.660000000000003,0.0600000000000001,-0.94,-0.779999999999999,0.16,-15.821,19.54,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:622,162.140000000,162.450000000,-0.559999999999998,0.960000000000004,0.180000000000001,0,AMAR173.4.20220813T023710Z.wav,162.140000000,162.450000000,2022/8/13  2:39:52.1400,NA,NA,0,-0.559999999999998,0.960000000000004,0.180000000000001,-0.659999999999998,-0.419999999999998,0.24,0.860000000000003,1.08,0.22,0.0200000000000014,0.340000000000002,0.32,-15.355,14.20,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:1185,528.110000000,529.030000000,-0.499999999999998,-0.259999999999998,-0.299999999999999,0,AMAR173.4.20220813T023710Z.wav,528.110000000,529.030000000,2022/8/13  2:45:58.1100,NA,NA,0,-0.499999999999998,-0.259999999999998,-0.299999999999999,-0.619999999999998,-0.379999999999998,0.24,-0.359999999999998,-0.119999999999997,0.24,-0.459999999999999,-0.139999999999999,0.32,-4.162,17.27,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:2606,339.160000000,339.200000000,-0.0799999999999974,0.160000000000003,-0.559999999999999,0,AMAR173.4.20220813T023710Z.wav,339.160000000,339.200000000,2022/8/13  2:42:49.1600,NA,NA,0,-0.0799999999999974,0.160000000000003,-0.559999999999999,-0.519999999999998,0.320000000000003,0.840000000000001,-0.279999999999998,0.560000000000003,0.840000000000001,-1,-0.0799999999999987,0.920000000000001,-28.739,9.11,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3066,394.510000000,394.790000000,-0.279999999999998,-0.0999999999999974,-1.38,0,AMAR173.4.20220813T023710Z.wav,394.510000000,394.790000000,2022/8/13  2:43:44.5100,NA,NA,0,-0.279999999999998,-0.0999999999999974,-1.38,-0.299999999999998,-0.259999999999998,0.04,-0.119999999999997,-0.0799999999999974,0.04,-1.4,-1.32,0.0800000000000001,0.128,27.70,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3217,406.370000000,406.460000000,0.500000000000003,0.100000000000003,0.0200000000000014,0,AMAR173.4.20220813T023710Z.wav,406.370000000,406.460000000,2022/8/13  2:43:56.3700,NA,NA,0,0.500000000000003,0.100000000000003,0.0200000000000014,0.480000000000003,0.640000000000003,0.16,0.0600000000000027,0.160000000000003,0.1,-0.0399999999999987,0.0800000000000014,0.12,-26.737,13.98,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3318,127.390000000,127.510000000,-0.479999999999998,0.720000000000003,-0.479999999999999,0,AMAR173.4.20220813T023710Z.wav,127.390000000,127.510000000,2022/8/13  2:39:17.3900,NA,NA,0,-0.479999999999998,0.720000000000003,-0.479999999999999,-0.659999999999998,-0.299999999999998,0.36,0.500000000000003,0.900000000000003,0.4,-0.699999999999999,-0.219999999999999,0.48,-24.215,16.35,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
